established_detection_rate,estimated_onset_s,family,finite_epochs,first_alarm_delay_s,longest_alarm_run_epochs,mean_participation,mean_tracked_prns,method,onset_error_s,pauc_fpr_0_05,persistent_alarm_ratio,pr_auc,pre_onset_fpr,roc_auc,scenario,score_total_prompt_power_pearson_r,score_total_prompt_power_spearman_rho,score_total_residual_energy_pearson_r,score_total_residual_energy_spearman_rho,transition_detection_rate
nan,1.0,DS4,255,nan,0,0.12493584539920631,10.384313725490196,No-quotient,-112.8,0.5,0.0,0.11764705882352941,0.0,0.5,DS4,,,,,0.0
0.0070921985815602835,,DS7-8,540,0.4986331199999938,1,nan,10.431481481481482,A1,,0.4926440399116905,0.009316770186335404,0.5415726872521023,0.022935779816513763,0.41953957490455296,DS7,,,,,0.025
0.45390070921985815,,DS7-8,540,0.4986331199999938,46,nan,10.431481481481482,A2,,0.7154195359221287,0.40372670807453415,0.8932367102306786,0.009174311926605505,0.8320702034303948,DS7,,,,,0.05
0.475177304964539,,DS7-8,540,92.4986634,131,0.18991161616161617,10.431481481481482,A3,,0.7080745341614907,0.4161490683229814,0.7642972164711295,0.0,0.7080745341614907,DS7,,,,,0.0
0.014184397163120567,100.5,DS7-8,540,0.4986331199999938,20,0.7325946051833626,10.431481481481482,A4,-9.5,0.5101335308754535,0.059006211180124224,0.48116952187085327,0.05045871559633028,0.1989572055387771,DS7,,,,,0.375
0.4858156028368794,259.5,DS7-8,540,92.4986634,134,0.21394528713134717,10.431481481481482,A5,149.5,0.7127329192546583,0.4254658385093168,0.7680584311019094,0.0,0.7127329192546584,DS7,,,,,0.0
0.11347517730496454,270.0,DS7-8,540,105.49866800000001,20,0.17421189007061905,10.431481481481482,A6,160.0,0.5496894409937888,0.09937888198757763,0.6364159190246147,0.0,0.5496894409937888,DS7,,,,,0.0
0.48936170212765956,270.0,DS7-8,540,92.4986634,138,0.2740532608398689,10.431481481481482,A7,160.0,0.7142857142857143,0.42857142857142855,0.7693121693121692,0.0,0.7142857142857143,DS7,,,,,0.0
0.48936170212765956,270.0,DS7-8,540,92.4986634,138,0.2740532608398689,10.431481481481482,Full,160.0,0.7142857142857143,0.42857142857142855,0.7693121693121692,0.0,0.7142857142857143,DS7,-0.028678482002658934,-0.14275581799359782,-0.04720024220397552,-0.14257316286884772,0.0
0.0035460992907801418,270.0,DS7-8,540,160.54110243999997,1,0.3575576683578583,10.431481481481482,EPL3,160.0,0.5015527950310559,0.003105590062111801,0.5975500345065563,0.0,0.5015527950310559,DS7,,,,,0.0
0.49645390070921985,259.5,DS7-8,540,0.4986331199999938,139,0.3352041227722325,10.431481481481482,No-quotient,149.5,0.697330989712322,0.43788819875776397,0.7707352440050395,0.07339449541284404,0.6967633483389368,DS7,,,,,0.025
0.010294117647058823,,DS7-8,938,0.4986331199999938,1,nan,10.646055437100213,A1,,0.4931650069264748,0.011111111111111112,0.7170837334688274,0.01834862385321101,0.4048228848114169,DS8,,,,,0.025
0.7161764705882353,,DS7-8,938,0.4986331199999938,46,nan,10.646055437100213,A2,,0.8380707807313312,0.6805555555555556,0.9785061827593757,0.01834862385321101,0.9287907747196739,DS8,,,,,0.075
0.7779411764705882,,DS7-8,938,95.99918356,529,0.4597402597402597,10.646055437100213,A3,,0.8673611111111111,0.7347222222222223,0.938346955697702,0.0,0.8673611111111111,DS8,,,,,0.0
0.061764705882352944,395.0,DS7-8,938,0.4986331199999938,37,0.7510159133149141,10.646055437100213,A4,285.0,0.5116051125225437,0.08611111111111111,0.6501818382902824,0.18807339449541285,0.1806320081549439,DS8,,,,,0.5
0.7823529411764706,400.5,DS7-8,938,92.49918792,529,0.36342181389647665,10.646055437100213,A5,290.5,0.8694444444444445,0.7388888888888889,0.9393153281212983,0.0,0.8694444444444445,DS8,,,,,0.0
0.18088235294117647,257.0,DS7-8,938,105.49866800000001,20,0.20669465267889378,10.646055437100213,A6,147.0,0.5854166666666667,0.17083333333333334,0.8072938877043354,0.0,0.5854166666666667,DS8,,,,,0.0
0.7823529411764706,400.5,DS7-8,938,92.49918792,529,0.4325895823713079,10.646055437100213,A7,290.5,0.8694444444444445,0.7388888888888889,0.9393153281212983,0.0,0.8694444444444445,DS8,,,,,0.0
0.7823529411764706,400.5,DS7-8,938,92.49918792,529,0.4325895823713079,10.646055437100213,Full,290.5,0.8694444444444445,0.7388888888888889,0.9393153281212983,0.0,0.8694444444444445,DS8,0.12057582034147997,-0.06584781738179298,0.10128069871021818,-0.04500752165868977,0.0
0.09705882352941177,362.5,DS7-8,938,180.49869568000003,19,0.36108507918964183,10.646055437100213,EPL3,252.5,0.5458333333333334,0.09166666666666666,0.7888948116560056,0.0,0.5458333333333333,DS8,,,,,0.0
0.7897058823529411,400.5,DS7-8,938,0.4986331199999938,537,0.49008711916515635,10.646055437100213,No-quotient,290.5,0.8565239551478083,0.7472222222222222,0.9405288810359772,0.09174311926605505,0.8602191641182467,DS8,,,,,0.025
